,School Name,Lat,Long
1,Davenport University,42.8494622,-85.53066489999999
2,University of West Georgia,33.5718249,-85.1032441
5,Rochester Institute of Technology,43.0844955,-77.6749311
6,Fairleigh Dickinson-College at Florham,40.7761962,-74.43212969999999
7,Troy University,31.8010955,-85.9572999
8,Western Illinois University,40.4766148,-90.68435989999999
9,North Dakota State University,46.8977528,-96.8024367
10,Macalester College,44.9379243,-93.1690746
12,Grand Canyon University,33.5100339,-112.1288588
14,Seton Hall University,40.7433773,-74.2465446
15,Rutgers University,40.5008186,-74.44739910000001
16,Quinnipiac University,41.4189262,-72.89364929999999
17,University of South Alabama,30.6959406,-88.184236
18,University of Idaho,46.7288124,-117.0126084
20,Oklahoma,35.4675602,-97.5164276
22,"University of Tennessee, Knoxville",35.9544013,-83.92945639999999
23,Davenport University,42.8494622,-85.53066489999999
24,"University of Tennessee, Knoxville",35.9544013,-83.92945639999999
26,West Virginia University,39.6480359,-79.9697147
28,Baylor University,31.5488923,-97.1130573
29,Western Kentucky University,36.9847167,-86.456
30,University of New Orleans,30.028658,-90.065928
32,University of Louisiana at Lafayette,30.2114404,-92.0204121
33,University of Florida,29.6436325,-82.3549302
34,North Carolina Central University,35.9752487,-78.899654
35,"University of Alabama, Tuscaloosa",33.2140233,-87.5391418
36,University of Minnesota Morris,45.58903170000001,-95.8969661
38,Texas A&M University,30.6187558,-96.33647719999999
39,Centre College,37.6457165,-84.779061
40,Rutgers University,40.5008186,-74.44739910000001
41,Madonna University,42.3857893,-83.4062995
43,University of Dubuque,42.4952453,-90.6956357
44,Grand Canyon University,33.5100339,-112.1288588
45,Heartland Community College,40.5344156,-89.0121075
47,Davenport University,42.8494622,-85.53066489999999
48,North Central College,41.772663,-88.1440142
51,North Central College,41.772663,-88.1440142
52,"University of South Carolina, Columbia",33.9937575,-81.0299186
53,University of Southern Mississippi,31.3298668,-89.33345349999999
54,Texas A&M University,30.6187558,-96.33647719999999
55,"Rutgers, The State Univ. of New Jersey, Camden",39.9475395,-75.1232038
56,Aquinas College,42.9604684,-85.626114
57,Indiana University,39.1754487,-86.512627
58,Aquinas College,42.9604684,-85.626114
59,Oregon State University,44.5637806,-123.2794443
60,University of Texas-Dallas,32.9857619,-96.7500993
61,Georgia Gwinnet College,33.9799796,-84.00444089999999
62,"University of Tennessee, Knoxville",35.9544013,-83.92945639999999
64,"University of South Carolina, Columbia",33.9937575,-81.0299186
65,North Carolina State University,35.7846633,-78.6820946
66,Dominican University (Illinois),41.902411,-87.822057
67,Indiana University,39.1754487,-86.512627
68,Davenport University,42.8494622,-85.53066489999999
69,University of Southern Mississippi,31.3298668,-89.33345349999999
72,Syracuse University,43.0391534,-76.1351158
76,West Virginia University,39.6480359,-79.9697147
77,Georgia Gwinnet College,33.9799796,-84.00444089999999
78,University of New Orleans,30.028658,-90.065928
79,University of Louisiana at Lafayette,30.2114404,-92.0204121
80,King's College (Pennsylvania),41.2502745,-75.8794058
81,Illinois Wesleyan University,40.490892,-88.99051519999999
82,Texas A&M University,30.6187558,-96.33647719999999
83,South Dakota State University,44.3219388,-96.7837411
85,Quinnipiac University,41.4189262,-72.89364929999999
87,Grand Canyon University,33.5100339,-112.1288588
88,Mississippi State University,33.4551742,-88.79437659999999
89,Northern Arizona University,35.1804402,-111.6539683
90,Millersville University,39.9987943,-76.3527392
91,Temple University,39.9805942,-75.1557376
92,Nebraska,41.4925374,-99.9018131
93,William Paterson University,40.9473619,-74.1967319
94,University of Richmond,37.5751669,-77.5407146
95,Providence College,41.84387030000001,-71.4349215
96,Southern Illinois University at Carbondale,37.714121,-89.21737399999999
97,Howard Payne University,31.715784,-98.98724299999999
98,Wayne State University,42.3591388,-83.06654619999999
99,Illinois Wesleyan University,40.490892,-88.99051519999999
100,University of Southern Mississippi,31.3298668,-89.33345349999999
101,Texas A&M University,30.6187558,-96.33647719999999
102,Manhattanville College,41.032206,-73.71578199999999
103,Northwestern State University,31.7503566,-93.0974451
104,Azusa Pacific University,34.1300755,-117.8883593
105,VILLANOVA UNIVERSITY,40.0368926,-75.3425785
107,University of Florida,29.6436325,-82.3549302
109,Millikin University,39.84307769999999,-88.97489399999999
110,University of Missouri-Kansas City,39.0334185,-94.57770029999999
111,Michigan State University,42.701848,-84.4821719
116,Morehead State University,38.1886162,-83.4315122
117,Duke University,36.0014258,-78.9382286
118,University of New Orleans,30.028658,-90.065928
121,Cornerstone University,42.98105959999999,-85.59586879999999
122,Western Kentucky University,36.9847167,-86.456
123,State University College at Old Westbury,40.7993025,-73.5739715
126,Georgia Southern University,32.42054890000001,-81.78653469999999
128,Millikin University,39.84307769999999,-88.97489399999999
129,University of Georgia,33.9480053,-83.3773221
130,Messiah College,40.1582728,-76.9896306
131,Methodist University,39.1489094,-92.6840726
132,University of South Alabama,30.6959406,-88.184236
133,Louisiana Tech University,32.5282644,-92.6499298
134,Georgia Southern University,32.42054890000001,-81.78653469999999
137,Cornerstone University,42.98105959999999,-85.59586879999999
138,DePaul University,41.877575,-87.6272176
139,Michigan State University,42.701848,-84.4821719
140,Georgia Gwinnet College,33.9799796,-84.00444089999999
141,Northwestern State University,31.7503566,-93.0974451
142,Middle Tennessee State University,35.8486105,-86.3648813
143,Winthrop University,34.9395941,-81.0316686
144,Messiah College,40.1582728,-76.9896306
145,Northwestern State University,31.7503566,-93.0974451
146,University of Texas at Arlington,32.7292117,-97.11519709999999
147,Robert Morris Streaming,40.5215511,-80.2119216
148,"University of Alabama, Tuscaloosa",33.2140233,-87.5391418
149,"University of North Carolina, Chapel Hill",35.9049122,-79.0469134
150,Nebraska,41.4925374,-99.9018131
151,University of Louisiana at Lafayette,30.2114404,-92.0204121
153,Providence College,41.84387030000001,-71.4349215
154,Hobart College,42.8572633,-76.987228
155,LSU,30.4132579,-91.1800023
156,Georgia Gwinnet College,33.9799796,-84.00444089999999
157,Indiana University,39.1754487,-86.512627
158,Dominican University (Illinois),41.902411,-87.822057
160,King's College (Pennsylvania),41.2502745,-75.8794058
161,"University of South Carolina, Columbia",33.9937575,-81.0299186
163,Kean University,40.6787923,-74.232353
164,Loras College,42.5030898,-90.68106069999999
165,University of New Orleans,30.028658,-90.065928
167,University of Kentucky,38.0306511,-84.5039697
169,Oregon State University,44.5637806,-123.2794443
170,Western Kentucky University,36.9847167,-86.456
171,"University of Alabama, Tuscaloosa",33.2140233,-87.5391418
172,"University of Tennessee, Knoxville",35.9544013,-83.92945639999999
173,Hobart College,42.8572633,-76.987228
174,Manhattanville College,41.032206,-73.71578199999999
175,William Paterson University,40.9473619,-74.1967319
176,North Dakota State University,46.8977528,-96.8024367
177,Azusa Pacific University,34.1300755,-117.8883593
178,University of Mississippi,34.3647349,-89.5383818
179,North Carolina Central University,35.9752487,-78.899654
180,Pennsylvania State University,40.7982133,-77.8599084
181,State University College at Old Westbury,40.7993025,-73.5739715
183,University of Louisiana at Lafayette,30.2114404,-92.0204121
184,Messiah College,40.1582728,-76.9896306
185,"University of Alabama, Tuscaloosa",33.2140233,-87.5391418
186,University of Rochester,43.1305531,-77.6260033
187,VILLANOVA UNIVERSITY,40.0368926,-75.3425785
188,Millersville University,39.9987943,-76.3527392
190,North Dakota State University,46.8977528,-96.8024367
192,Troy University,31.8010955,-85.9572999
193,"University of South Carolina, Columbia",33.9937575,-81.0299186
194,University of Richmond,37.5751669,-77.5407146
195,Providence College,41.84387030000001,-71.4349215
196,Baylor University,31.5488923,-97.1130573
198,Madonna University,42.3857893,-83.4062995
199,Davenport University,42.8494622,-85.53066489999999
200,University of Rochester,43.1305531,-77.6260033
202,University of Texas at Arlington,32.7292117,-97.11519709999999
203,Nebraska,41.4925374,-99.9018131
204,Georgia Gwinnet College,33.9799796,-84.00444089999999
205,Baylor University,31.5488923,-97.1130573
206,University of Missouri-Kansas City,39.0334185,-94.57770029999999
207,Syracuse University,43.0391534,-76.1351158
208,Furman University,34.9260157,-82.44007239999999
209,Texas Tech University,33.5842591,-101.8782822
210,Wichita State,37.7186367,-97.29414140000002
211,Nebraska,41.4925374,-99.9018131
212,Nebraska,41.4925374,-99.9018131
213,University of Georgia,33.9480053,-83.3773221
214,Nebraska,41.4925374,-99.9018131
215,University of Louisiana at Lafayette,30.2114404,-92.0204121
217,"University of South Carolina, Columbia",33.9937575,-81.0299186
218,University of Mississippi,34.3647349,-89.5383818
219,Slippery Rock University,41.06188840000001,-80.0388286
220,Indiana University,39.1754487,-86.512627
221,University of Texas-Dallas,32.9857619,-96.7500993
222,Illinois Wesleyan University,40.490892,-88.99051519999999
223,University of New Orleans,30.028658,-90.065928
224,Newberry College,34.2861075,-81.6219227
225,Pennsylvania State University,40.7982133,-77.8599084
226,Oklahoma,35.4675602,-97.5164276
227,Southern Illinois University at Carbondale,37.714121,-89.21737399999999
228,Georgetown University,38.9076089,-77.07225849999999
229,University of the Cumberlands,36.7371496,-84.1638243
230,Indiana University,39.1754487,-86.512627
232,Troy University,31.8010955,-85.9572999
233,Davenport University,42.8494622,-85.53066489999999
234,Providence College,41.84387030000001,-71.4349215
236,Grand Canyon University,33.5100339,-112.1288588
238,University of Louisiana at Lafayette,30.2114404,-92.0204121
239,Loras College,42.5030898,-90.68106069999999
240,Manhattanville College,41.032206,-73.71578199999999
241,Dominican University (Illinois),41.902411,-87.822057
242,Loras College,42.5030898,-90.68106069999999
243,Azusa Pacific University,34.1300755,-117.8883593
244,Millikin University,39.84307769999999,-88.97489399999999
245,King's College (Pennsylvania),41.2502745,-75.8794058
246,"University of Alabama, Tuscaloosa",33.2140233,-87.5391418
247,Heartland Community College,40.5344156,-89.0121075
248,University of Texas-Dallas,32.9857619,-96.7500993
249,Centre College,37.6457165,-84.779061
250,Northwestern State University,31.7503566,-93.0974451
251,University of Southern Mississippi,31.3298668,-89.33345349999999
253,Azusa Pacific University,34.1300755,-117.8883593
254,Heartland Community College,40.5344156,-89.0121075
255,Fairleigh Dickinson-College at Florham,40.7761962,-74.43212969999999
256,University of Wisconsin-River Falls,44.8530003,-92.6222324
258,Robert Morris Streaming,40.5215511,-80.2119216
259,Campbellsville University,37.3432404,-85.34913619999999
260,University of Florida,29.6436325,-82.3549302
261,LSU,30.4132579,-91.1800023
264,Azusa Pacific University,34.1300755,-117.8883593
265,"University of Tennessee, Knoxville",35.9544013,-83.92945639999999
267,Georgia Gwinnet College,33.9799796,-84.00444089999999
269,LeTourneau University,32.4662246,-94.72733509999999
270,Duke University,36.0014258,-78.9382286
271,Quinnipiac University,41.4189262,-72.89364929999999
272,Syracuse University,43.0391534,-76.1351158
274,VILLANOVA UNIVERSITY,40.0368926,-75.3425785
275,Savannah State University,32.024159,-81.064413
276,Newberry College,34.2861075,-81.6219227
278,University of Rochester,43.1305531,-77.6260033
279,McNeese State University,30.1788135,-93.21685680000002
280,North Carolina State University,35.7846633,-78.6820946
281,University of Texas-Dallas,32.9857619,-96.7500993
283,University of Florida,29.6436325,-82.3549302
284,Bethel University,45.058197,-93.16251799999999
285,Utah Valley University,40.2787626,-111.7153739
286,Georgia Gwinnet College,33.9799796,-84.00444089999999
287,North Dakota State University,46.8977528,-96.8024367
288,Illinois Wesleyan University,40.490892,-88.99051519999999
289,Syracuse University,43.0391534,-76.1351158
290,William Paterson University,40.9473619,-74.1967319
291,Central Michigan University,43.5819086,-84.7756364
293,McNeese State University,30.1788135,-93.21685680000002
294,Aquinas College,42.9604684,-85.626114
296,University of the Cumberlands,36.7371496,-84.1638243
297,California Baptist University,33.9288906,-117.4259155
298,"University of Illinois, Champaign",40.1019523,-88.2271615
299,Rosemont College,40.0325184,-75.32845669999999
301,South Dakota State University,44.3219388,-96.7837411
302,Xavier University,39.1489126,-84.4795637
303,University of Florida,29.6436325,-82.3549302
304,University of West Florida,30.5491387,-87.21858619999999
305,North Dakota State University,46.8977528,-96.8024367
306,North Carolina State University,35.7846633,-78.6820946
308,The College of St. Scholastica,46.8163661,-92.1080999
309,VILLANOVA UNIVERSITY,40.0368926,-75.3425785
310,Western Illinois University,40.4766148,-90.68435989999999
312,Newberry College,34.2861075,-81.6219227
313,Newberry College,34.2861075,-81.6219227
314,University of the Cumberlands,36.7371496,-84.1638243
315,Centre College,37.6457165,-84.779061
316,Centre College,37.6457165,-84.779061
317,Niagara University,43.1369816,-79.0349955
320,Illinois Wesleyan University,40.490892,-88.99051519999999
321,State University College at Brockport,43.210018,-77.9507327
322,Rosemont College,40.0325184,-75.32845669999999
323,Cornerstone University,42.98105959999999,-85.59586879999999
325,Nebraska,41.4925374,-99.9018131
326,"University of Alabama, Tuscaloosa",33.2140233,-87.5391418
327,"University of Illinois, Champaign",40.1019523,-88.2271615
328,Wayne State University,42.3591388,-83.06654619999999
330,Texas Christian University,32.7095936,-97.3635602
332,Duke University,36.0014258,-78.9382286
333,West Virginia University,39.6480359,-79.9697147
334,Fairleigh Dickinson-College at Florham,40.7761962,-74.43212969999999
336,Slippery Rock University,41.06188840000001,-80.0388286
337,University of South Alabama,30.6959406,-88.184236
338,VILLANOVA UNIVERSITY,40.0368926,-75.3425785
339,University of Mississippi,34.3647349,-89.5383818
340,Baylor University,31.5488923,-97.1130573
341,William Paterson University,40.9473619,-74.1967319
342,Georgia Gwinnet College,33.9799796,-84.00444089999999
343,Azusa Pacific University,34.1300755,-117.8883593
344,North Dakota State University,46.8977528,-96.8024367
346,North Dakota State University,46.8977528,-96.8024367
347,King's College (Pennsylvania),41.2502745,-75.8794058
348,Georgia Gwinnet College,33.9799796,-84.00444089999999
349,Ithaca College,42.4244847,-76.4937786
350,Saint Mary's University of Minnesota,44.0447724,-91.69578369999999
351,Central Michigan University,43.5819086,-84.7756364
352,University of the Cumberlands,36.7371496,-84.1638243
353,Central Michigan University,43.5819086,-84.7756364
354,Michigan State University,42.701848,-84.4821719
356,Savannah State University,32.024159,-81.064413
357,Millersville University,39.9987943,-76.3527392
358,Ramapo College of New Jersey,41.081015,-74.1745057
360,Heartland Community College,40.5344156,-89.0121075
362,Texas Christian University,32.7095936,-97.3635602
364,University of Missouri-Kansas City,39.0334185,-94.57770029999999
366,Azusa Pacific University,34.1300755,-117.8883593
367,Duke University,36.0014258,-78.9382286
368,University of West Florida,30.5491387,-87.21858619999999
369,Indiana University,39.1754487,-86.512627
370,LSU,30.4132579,-91.1800023
371,State University College at Old Westbury,40.7993025,-73.5739715
372,LSU,30.4132579,-91.1800023
373,"University of Alabama, Tuscaloosa",33.2140233,-87.5391418
374,North Dakota State University,46.8977528,-96.8024367
376,State University College at Old Westbury,40.7993025,-73.5739715
377,University of Connecticut,41.8077414,-72.2539805
378,Loras College,42.5030898,-90.68106069999999
379,North Carolina Central University,35.9752487,-78.899654
380,University of Texas-Dallas,32.9857619,-96.7500993
382,University of Missouri-Kansas City,39.0334185,-94.57770029999999
383,South Dakota State University,44.3219388,-96.7837411
384,Texas A&M University,30.6187558,-96.33647719999999
385,University of Southern Mississippi,31.3298668,-89.33345349999999
386,University of Dubuque,42.4952453,-90.6956357
387,Newberry College,34.2861075,-81.6219227
388,Heartland Community College,40.5344156,-89.0121075
389,University of Texas at Arlington,32.7292117,-97.11519709999999
391,North Central College,41.772663,-88.1440142
392,University of Louisville,38.2122761,-85.75850229999999
394,Loras College,42.5030898,-90.68106069999999
395,University of the Cumberlands,36.7371496,-84.1638243
396,Louisiana Tech University,32.5282644,-92.6499298
398,Manhattanville College,41.032206,-73.71578199999999
399,Howard Payne University,31.715784,-98.98724299999999
400,Colorado College,38.8491969,-104.8254167
401,State University College at Brockport,43.210018,-77.9507327
402,Texas Tech University,33.5842591,-101.8782822
403,Texas Tech University,33.5842591,-101.8782822
405,Cornerstone University,42.98105959999999,-85.59586879999999
406,Centre College,37.6457165,-84.779061
407,Loras College,42.5030898,-90.68106069999999
408,Quinnipiac University,41.4189262,-72.89364929999999
409,Quinnipiac University,41.4189262,-72.89364929999999
410,University of North Dakota,47.922891,-97.0768014
411,Lower Columbia College,46.1428243,-122.9364315
412,University of the Cumberlands,36.7371496,-84.1638243
413,University of North Dakota,47.922891,-97.0768014
414,Madonna University,42.3857893,-83.4062995
415,Newberry College,34.2861075,-81.6219227
416,Northeastern State University,35.9209678,-94.965902
419,McNeese State University,30.1788135,-93.21685680000002
420,North Dakota State University,46.8977528,-96.8024367
421,Cornerstone University,42.98105959999999,-85.59586879999999
422,Rockford University,42.2688957,-89.0187474
423,Northwestern State University,31.7503566,-93.0974451
426,University of the Cumberlands,36.7371496,-84.1638243
427,Quinnipiac University,41.4189262,-72.89364929999999
428,University of New Hampshire,43.138948,-70.9370252
429,Heartland Community College,40.5344156,-89.0121075
430,Illinois Wesleyan University,40.490892,-88.99051519999999
432,North Central University,44.9693757,-93.2613429
433,Central Michigan University,43.5819086,-84.7756364
434,Heartland Community College,40.5344156,-89.0121075
435,Manhattanville College,41.032206,-73.71578199999999
436,University of Denver,39.6766174,-104.9618965
437,"University of Tennessee, Knoxville",35.9544013,-83.92945639999999
438,Westminster College (PA),41.119859,-80.332286
439,University of Florida,29.6436325,-82.3549302
441,Georgia Gwinnet College,33.9799796,-84.00444089999999
442,"University of Tennessee, Knoxville",35.9544013,-83.92945639999999
443,Slippery Rock University,41.06188840000001,-80.0388286
444,Rockford University,42.2688957,-89.0187474
445,California Baptist University,33.9288906,-117.4259155
446,Howard Payne University,31.715784,-98.98724299999999
447,Virginia Tech,37.22838429999999,-80.42341669999999
448,Millikin University,39.84307769999999,-88.97489399999999
450,Wichita State,37.7186367,-97.29414140000002
451,California Baptist University,33.9288906,-117.4259155
453,East Carolina University,35.6068806,-77.3665364
454,East Central University,34.7728989,-96.65981839999999
455,North Carolina Central University,35.9752487,-78.899654
456,Fresno State,36.8133631,-119.7460947
458,State University College at Brockport,43.210018,-77.9507327
459,University of the Cumberlands,36.7371496,-84.1638243
460,Centre College,37.6457165,-84.779061
462,University of West Florida,30.5491387,-87.21858619999999
463,University of Minnesota Morris,45.58903170000001,-95.8969661
464,Tulane University,29.9407282,-90.12031669999999
465,University of Connecticut,41.8077414,-72.2539805
466,University of Connecticut,41.8077414,-72.2539805
467,University of West Florida,30.5491387,-87.21858619999999
468,University of Georgia,33.9480053,-83.3773221
470,Pennsylvania State University,40.7982133,-77.8599084
471,Southern Illinois University at Carbondale,37.714121,-89.21737399999999
472,Rockford University,42.2688957,-89.0187474
473,Central Michigan University,43.5819086,-84.7756364
475,King's College (Pennsylvania),41.2502745,-75.8794058
476,University of Denver,39.6766174,-104.9618965
477,Cornerstone University,42.98105959999999,-85.59586879999999
478,Texas Tech University,33.5842591,-101.8782822
479,Nassau Community College,40.7290406,-73.5940133
480,Grand Canyon University,33.5100339,-112.1288588
481,King's College (Pennsylvania),41.2502745,-75.8794058
482,Nassau Community College,40.7290406,-73.5940133
484,University of West Georgia,33.5718249,-85.1032441
485,North Central College,41.772663,-88.1440142
486,University of Kentucky,38.0306511,-84.5039697
487,University of Florida,29.6436325,-82.3549302
488,VILLANOVA UNIVERSITY,40.0368926,-75.3425785
489,Grand Canyon University,33.5100339,-112.1288588
490,Louisiana Tech University,32.5282644,-92.6499298
491,North Central College,41.772663,-88.1440142
492,Northwestern State University,31.7503566,-93.0974451
493,North Central University,44.9693757,-93.2613429
494,"University of South Carolina, Columbia",33.9937575,-81.0299186
496,LSU,30.4132579,-91.1800023
497,Virginia Tech,37.22838429999999,-80.42341669999999
498,University of Southern Mississippi,31.3298668,-89.33345349999999
499,University of Montana,46.8600672,-113.9852081
500,Providence College,41.84387030000001,-71.4349215
501,Davenport University,42.8494622,-85.53066489999999
502,Newberry College,34.2861075,-81.6219227
503,Southern Illinois University at Carbondale,37.714121,-89.21737399999999
504,Loras College,42.5030898,-90.68106069999999
505,Kansas State University,39.1974437,-96.5847249
506,University of Louisiana at Lafayette,30.2114404,-92.0204121
507,Texas Tech University,33.5842591,-101.8782822
508,Wichita State,37.7186367,-97.29414140000002
509,North Carolina State University,35.7846633,-78.6820946
510,Louisiana Tech University,32.5282644,-92.6499298
511,Georgetown University,38.9076089,-77.07225849999999
512,Texas Christian University,32.7095936,-97.3635602
514,Indiana Institute of Technology,41.077818,-85.116851
515,Slippery Rock University,41.06188840000001,-80.0388286
516,"Rutgers, The State Univ. of New Jersey, Camden",39.9475395,-75.1232038
518,Rochester Institute of Technology,43.0844955,-77.6749311
519,Illinois Wesleyan University,40.490892,-88.99051519999999
520,LeTourneau University,32.4662246,-94.72733509999999
521,University of Louisiana at Lafayette,30.2114404,-92.0204121
522,University of Alabama at Birmingham,33.5019893,-86.8064433
523,Louisiana Tech University,32.5282644,-92.6499298
525,Montana State University-Bozeman,45.6673524,-111.0546211
526,"Rutgers, The State Univ. of New Jersey, Camden",39.9475395,-75.1232038
527,Georgia Gwinnet College,33.9799796,-84.00444089999999
528,Dominican University (Illinois),41.902411,-87.822057
529,Cornerstone University,42.98105959999999,-85.59586879999999
530,Rochester Institute of Technology,43.0844955,-77.6749311
531,Illinois Wesleyan University,40.490892,-88.99051519999999
532,Marquette University,43.0388337,-87.92856669999999
533,University of Mississippi,34.3647349,-89.5383818
534,Oregon State University,44.5637806,-123.2794443
535,Pennsylvania State University,40.7982133,-77.8599084
536,Troy University,31.8010955,-85.9572999
537,Rochester Institute of Technology,43.0844955,-77.6749311
538,Quinnipiac University,41.4189262,-72.89364929999999
539,Keystone College,41.5590074,-75.77740469999999
540,Texas A&M University,30.6187558,-96.33647719999999
541,Nebraska,41.4925374,-99.9018131
542,University of Houston,29.7199489,-95.3422334
543,Cornerstone University,42.98105959999999,-85.59586879999999
545,Madonna University,42.3857893,-83.4062995
546,"University of Illinois, Champaign",40.1019523,-88.2271615
548,Newberry College,34.2861075,-81.6219227
550,University of South Alabama,30.6959406,-88.184236
552,Providence College,41.84387030000001,-71.4349215
553,Mississippi State University,33.4551742,-88.79437659999999
554,East Carolina University,35.6068806,-77.3665364
555,University of the Cumberlands,36.7371496,-84.1638243
556,VILLANOVA UNIVERSITY,40.0368926,-75.3425785
