ID,Scheduled,PassThru,Start Time,End Time,Event,School Name,School Code,Sport,PubPoint
80454be6-1828-499d-b398-6c3b38f30a28,scheduled,False,1618008600,1618020000,SB: Middle Tennessee vs Marshall,Conference USA,c-usa,Softball,mtsu_softball
f9547332-f5d5-49e0-bc8f-63ec97466837,scheduled,False,1618073400,1618084800,vs. Ashland,Davenport University,dave,Baseball,davenport_1
cc6a38ff-0b50-4d79-b47f-320b77188954,scheduled,False,1618076700,1618110000,UWG Baseball vs. Union,University of West Georgia,wega,Baseball,westgeorgia_audio2
bc057b3e-4358-4089-aea2-05ac0004396c,scheduled,False,1617822000,1617840000,Bethany at W&J,Presidents Athletic Conference,pac,Softball,washjeff_1
1281a5f2-414e-4349-ab70-63900958ec47,scheduled,False,1618008600,1618020000,BSB AUDIO: Charlotte at FIU,Conference USA,c-usa,Baseball,charlotte_audio2
59005cbd-3119-417e-b95a-d69076c3638c,scheduled,False,1618076700,1618087500,RIT vs Skidmore,Rochester Institute of Technology,rit,Men's Lacrosse,RIT_2
f65881c2-808f-4051-a06a-e1fdbc35cbea,scheduled,False,1618065900,1618092000,DH vs. Delaware Valley University,Fairleigh Dickinson-College at Florham,fduf,Baseball,fdudevils_2
08b942cb-9ba0-4802-907b-09e67f9af910,scheduled,False,1618008000,1618027200,vs. Texas State,Troy University,troy,Baseball,troy_wtbf_1
d80403c7-52ab-4a74-952c-0a8df85ba807,scheduled,False,1618164000,1618174800,WSOC vs. South Dakota State,Western Illinois University,wil,Women's Soccer,wiu_1
d84e227e-592a-489f-b2f5-f908077de6fe,scheduled,False,1618156500,1618167600,NDSU vs South Dakota ,North Dakota State University,ndsu,Softball,gobison_audio2
fc7a5d7d-eece-4c6b-8a77-0686d4f4ef23,scheduled,False,1618160100,1618171200,vs. Hamline University,Macalester College,maca,Women's Soccer,macalester_1
17d8cbb1-bc69-42cd-91a2-2a0e9428e7f5,conflict,False,1618171200,1618182000,Lafayette at Navy (Game 2),Patriot League,patr,Baseball,usna_1
c9a74f78-8e1a-4508-872d-355da92ebc38,conflict,False,1618007400,1618021800,vs. Dixie State ,Grand Canyon University,gcan,Softball,GCU_4
a4c349cd-35c0-4b12-89a6-dff3c01baa14,scheduled,False,1618088100,1618099200,BSB AUDIO: Charlotte at FIU (Game 2),Conference USA,c-usa,Baseball,charlotte_audio2
8b601891-8a1d-4619-8b4d-c9dc3e352d78,scheduled,False,1617994500,1618012800,Baseball vs. Butler,Seton Hall University,seha,Baseball,shu_1
b8229a82-7ffb-4604-9027-739361066864,scheduled,False,1618159800,1618174800,Baseball at Northwestern - Game 3,Rutgers University,rutu,Baseball,rutgersu_audio1
ecdf91c4-7913-4086-93dc-d592b90fa90e,scheduled,False,1618069500,1618081200,Men's Lacrosse vs. Manhattan,Quinnipiac University,quic,Men's Lacrosse,quinnipiac_2
f8433c5b-53ca-43f7-9203-15f271497469,scheduled,False,1618077600,1618102800,South Alabama at Texas State,University of South Alabama,sala,Softball,southalabama_3_audio
f5906d43-fe22-48c1-b033-dd97a184fc7a,scheduled,True,1617843600,1617847200,Paul Petrino Show,University of Idaho,idho,Football,
68cf765f-b0ee-4ab9-b62d-bed3577d089b,scheduled,False,1618083000,1618093800,Navy at Lehigh,Patriot League,patr,Men's Lacrosse,lehigh_1
284ff298-125d-4446-8bdd-3275bc21f048,scheduled,False,1617751800,1617778800,Live Baseball vs Oral Roberts (PREMIUM),Oklahoma,okla,Baseball,oklahoma_base
419e2da3-e3ad-48df-a509-ab020a4795d6,scheduled,False,1618072800,1618095600,Washington & Jefferson at Franciscan,Presidents Athletic Conference,pac,Softball,Franciscan_2
be217f96-f9ec-4543-ba95-8c2db8658b3d,scheduled,True,1618026300,1618038000,vs. Mississippi State,"University of Tennessee, Knoxville",tenn,Softball,
a46dc5b4-45ee-4f3b-b5f3-999b766f7722,scheduled,False,1618026600,1617406504,vs. Indianapolis,Davenport University,dave,Men's Lacrosse,davenport_1
379664e0-4d54-48ac-87df-0a4376f99303,scheduled,True,1618112700,1618124400,vs. Mississippi State,"University of Tennessee, Knoxville",tenn,Softball,
e20d0e2c-239d-4dc4-8292-f82fae9cc901,scheduled,False,1618070400,1618084800,UAlbany vs Binghamton (game 1),America East Conference,aeast,Baseball,binghamton_3
8783946a-d538-4c87-8a96-abdc13cd5448,scheduled,True,1618009200,1618025400,vs. Baylor,West Virginia University,wvir,Baseball,
79e197d2-6356-422a-bfd7-34991e8f9ad9,scheduled,False,1618098900,1618112700,BSB: UAB vs. USM ,Conference USA,c-usa,Baseball,somiss_2
