,INSTNM,CITY,ZIP,LATITUDE,LONGITUDE
0,Alabama A & M University,Normal,35762,34.783367999999996,-86.568502
1,University of Alabama at Birmingham,Birmingham,35294-0110,33.505697,-86.799345
2,Amridge University,Montgomery,36117-3553,32.362609,-86.17401
3,University of Alabama in Huntsville,Huntsville,35899,34.724557,-86.640449
4,Alabama State University,Montgomery,36104-0271,32.364317,-86.295677
5,The University of Alabama,Tuscaloosa,35487-0100,33.211875,-87.545978
6,Central Alabama Community College,Alexander City,35010,32.92478,-85.945266
7,Athens State University,Athens,35611,34.806793,-86.964698
8,Auburn University at Montgomery,Montgomery,36117-3596,32.36736,-86.177544
9,Auburn University,Auburn,36849,32.599378,-85.488258
10,Birmingham-Southern College,Birmingham,35254,33.513774,-86.85055200000001
11,Chattahoochee Valley Community College,Phenix City,36869,32.42391,-85.031485
12,South University-Montgomery,Montgomery,36116,32.342684000000006,-86.216488
13,Enterprise State Community College,Enterprise,36330-1300,31.297496000000002,-85.836956
14,Coastal Alabama Community College,Bay Minette,36507-2698,30.851343,-87.778193
15,Faulkner University,Montgomery,36109-3390,32.384181,-86.21641
16,Gadsden State Community College,Gadsden,35903,33.994001000000004,-85.991438
17,New Beginning College of Cosmetology,Albertville,35951,34.27871,-86.196931
18,George C Wallace Community College-Dothan,Dothan,36303-9234,31.315274,-85.465836
19,George C Wallace State Community College-Hanceville,Hanceville,35077-2000,34.072439,-86.781935
20,George C Wallace State Community College-Selma,Selma,36703-2808,32.445917,-87.01329399999999
21,Herzing University-Birmingham,Birmingham,35209,33.468466,-86.832465
22,Huntingdon College,Montgomery,36106-2148,32.351034000000006,-86.284366
23,Heritage Christian University,Florence,35630-9977,34.856153000000006,-87.663051
24,J. F. Drake State Community and Technical College,Huntsville,35811,34.771858,-86.572885
25,J F Ingram State Technical College,Deatsville,36022,32.582312,-86.39236899999999
26,Jacksonville State University,Jacksonville,36265,33.822938,-85.765321
27,Jefferson State Community College,Birmingham,35215-3098,33.652535,-86.707233
28,John C Calhoun State Community College,Tanner,35671,34.645844,-86.949674
29,Judson College,Marion,36756,32.629253000000006,-87.315206
30,Lawson State Community College,Birmingham,35221-1717,33.450814,-86.88884399999999
31,University of West Alabama,Livingston,35470,32.588132,-88.186329
32,Lurleen B Wallace Community College,Andalusia,36420-1418,31.322946999999996,-86.452262
33,Marion Military Institute,Marion,36756-3207,32.623734000000006,-87.322041
34,Miles College,Fairfield,35064-2621,33.482442,-86.908751
35,University of Mobile,Mobile,36613-2842,30.793246999999997,-88.128934
36,University of Montevallo,Montevallo,35115-6000,33.10625,-86.865099
37,Northwest-Shoals Community College,Muscle Shoals,35661,34.739788,-87.678089
38,University of North Alabama,Florence,35632-0001,34.806738,-87.681361
39,Northeast Alabama Community College,Rainsville,35986,34.545471,-85.911664
40,Oakwood University,Huntsville,35896,34.756344,-86.65270500000001
41,Reid State Technical College,Evergreen,36401,31.460265000000003,-86.96479699999999
42,Bishop State Community College,Mobile,36603-5898,30.693972,-88.05698199999999
43,Samford University,Birmingham,35229-2240,33.464128,-86.791799
44,Selma University,Selma,36701,32.420387,-87.032392
45,Shelton State Community College,Tuscaloosa,35405-8522,33.120531,-87.56148
46,Snead State Community College,Boaz,35957-0734,34.201495,-86.16989699999999
47,University of South Alabama,Mobile,36688-0002,30.696033,-88.17871099999999
48,Spring Hill College,Mobile,36608-1791,30.694751,-88.138199
49,Stillman College,Tuscaloosa,35401,33.200006,-87.585278
50,Talladega College,Talladega,35160,33.433471999999995,-86.11270400000001
51,H Councill Trenholm State Community College,Montgomery,36108-3199,32.350109,-86.343057
52,Troy University,Troy,36082-0001,31.800672,-85.957094
53,Tuskegee University,Tuskegee,36088-1920,32.4309,-85.708492
54,United States Sports Academy,Daphne,36526-7055,30.639328999999996,-87.91163
55,Bevill State Community College,Jasper,35501,33.836929,-87.266406
56,University of Alaska Anchorage,Anchorage,99508,61.190163,-149.82619
57,Alaska Bible College,Palmer,99645,61.598553,-149.111972
58,University of Alaska Fairbanks,Fairbanks,99775,64.85755999999999,-147.823146
59,University of Alaska Southeast,Juneau,99801-8697,58.384845999999996,-134.63825500000002
60,Alaska Pacific University,Anchorage,99508,61.190968000000005,-149.804168
61,Alaska Vocational Technical Center,Seward,99664-0889,60.110626,-149.444487
62,Charter College,Vancouver,98683-7575,45.617798,-122.494766
63,Alaska Career College,Anchorage,99507-1033,61.181443,-149.856954
64,Empire Beauty School-Tucson,Tucson,85716,32.235657,-110.92718700000002
65,Carrington College-Phoenix North,Phoenix,85051-4063,33.561689,-112.116105
66,Carrington College-Mesa,Mesa,85210,33.39248,-111.853218
67,Carrington College-Tucson,Tucson,85745,32.224391,-110.983056
68,CollegeAmerica-Flagstaff,Flagstaff,86001,35.194495,-111.657673
69,Arizona Academy of Beauty-East,Tucson,85712,32.237253,-110.87230500000001
70,Platt College-Arizona Automotive Institute Arizona,Glendale,85301-3579,33.537248999999996,-112.157344
71,Brookline College-Phoenix,Phoenix,85021,33.566102,-112.112473
72,Arizona State University-Tempe,Tempe,85287,33.417721,-111.93438300000001
73,Arizona Western College,Yuma,85365-8834,32.689306,-114.49596799999999
74,University of Arizona,Tucson,85721-0066,32.232671999999994,-110.95081499999999
75,Southwest University of Visual Arts-Tucson,Tucson,85716,32.252879,-110.92726499999999
76,Central Arizona College,Coolidge,85128-9030,32.957091999999996,-111.652501
77,Charles of Italy Beauty College,Lake Havasu City,86403,34.477484999999994,-114.33268600000001
78,Cochise County Community College District,Sierra Vista,85635-2317,31.564596999999996,-110.246946
79,Empire Beauty School-Flagstaff,Flagstaff,86004,35.197151,-111.62593600000001
80,Empire Beauty School-Chandler,Chandler,85224,33.347586,-111.860423
81,Cortiva Institute-Tucson,Tucson,85710,32.21901,-110.85678500000002
82,Avalon School of Cosmetology-Mesa,Mesa,85210,33.376583000000004,-111.858305
83,Eastern Arizona College,Thatcher,85552-0769,32.843664000000004,-109.76234
84,Embry-Riddle Aeronautical University-Prescott,Prescott,86301-3720,34.616766,-112.44974099999999
85,School of Architecture at Taliesin,Scottsdale,85259,33.607096999999996,-111.84541100000001
86,Glendale Community College,Glendale,85302,33.570226,-112.190735
87,Grand Canyon University,Phoenix,85017,33.513231,-112.129929
88,GateWay Community College,Phoenix,85034,33.449686,-111.997077
89,Mesa Community College,Mesa,85202,33.390322999999995,-111.871255
90,Mohave Community College,Kingman,86409-1238,35.270996000000004,-114.02983799999998
91,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,85027,33.684428000000004,-112.12133600000001
92,Dine College,Tsaile,86556,36.293328,-109.21683999999999
93,Northern Arizona University,Flagstaff,86011-4092,35.188449,-111.653724
94,Northland Pioneer College,Holbrook,86025-0610,34.93031,-110.142199
95,Ottawa University-Phoenix,Phoenix,85021,33.572173,-112.113001
96,Phoenix College,Phoenix,85013,33.481361,-112.088293
97,Cortiva Institute-Scottsdale,Scottsdale,85257,33.466153000000006,-111.90807
98,Pima Community College,Tucson,85709-1275,32.222125,-110.88665900000001
99,Pima Medical Institute-Tucson,Tucson,85712,32.248067,-110.87878300000001
100,Pima Medical Institute-Albuquerque,Albuquerque,87110,35.104855,-106.59488
101,Prescott College,Prescott,86301,34.5452,-112.477185
102,Refrigeration School Inc,Phoenix,85034-1816,33.448692,-111.98935700000001
103,Rio Salado College,Tempe,85281,33.413309000000005,-111.97417
104,Roberto-Venn School of Luthiery,Phoenix,85007,33.45489,-112.086161
105,Scottsdale Community College,Scottsdale,85256,33.51135,-111.885186
106,South Mountain Community College,Phoenix,85042,33.382406,-112.03263500000001
107,Arizona Christian University,Glendale,85306-3216,33.622952000000005,-112.181776
108,Universal Technical Institute of Arizona Inc,Avondale,85323,33.453005,-112.288123
109,Empire Beauty School-NW Phoenix,Phoenix,85051,33.538092999999996,-112.118168
110,Yavapai College,Prescott,86301,34.547495,-112.453395
111,University of Arkansas at Little Rock,Little Rock,72204,34.723254,-92.33977800000001
112,University of Arkansas for Medical Sciences,Little Rock,72205-7199,34.749047999999995,-92.32004599999999
113,Arkansas Baptist College,Little Rock,72202-6068,34.734751,-92.290555
114,Arkansas Beauty School-Little Rock,Little Rock,72209,34.672171,-92.343366
115,Arkansas Beauty College,Russellville,72801,35.27902,-93.135369
116,Lyon College,Batesville,72501,35.777619,-91.625354
117,Arkansas College of Barbering and Hair Design,North Little Rock,72114,34.753842999999996,-92.266429
118,Arthur's Beauty College Inc-Fort Smith,Fort Smith,72901-3342,35.379954999999995,-94.410967
119,University of Arkansas,Fayetteville,72701,36.070009000000006,-94.17698100000001
120,University of Arkansas at Pine Bluff,Pine Bluff,71601,34.244031,-92.018683
121,Arkansas State University-Beebe,Beebe,72012-1000,35.074176,-91.895351
122,Arkansas State University-Main Campus,Jonesboro,72401,35.842388,-90.679988
123,Arkansas Tech University,Russellville,72801-2222,35.293237,-93.13561999999999
124,University of Arkansas at Monticello,Monticello,71656,33.590909,-91.811153
125,Arthur's Beauty College Inc-Jacksonville,Jacksonville,72076,34.891572,-92.102579
126,Baptist Health College Little Rock,Little Rock,72210-2827,34.713115,-92.40692
127,Black River Technical College,Pocahontas,72455,36.239793,-90.951033
128,University of Central Arkansas,Conway,72035-0001,35.077945,-92.457672
129,Central Baptist College,Conway,72034,35.083838,-92.445021
130,Cossatot Community College of the University of Arkansas,De Queen,71832,34.043389000000005,-94.3673
131,Crowley's Ridge College,Paragould,72450,36.064845,-90.584395
132,Crowley's Ridge Technical Institute,Forrest City,72335-0925,35.039815999999995,-90.767321
133,East Arkansas Community College,Forrest City,72335-2204,35.041655,-90.767726
134,Eastern College of Health Vocations-Little Rock,Little Rock,72205,34.75128,-92.341891
135,Imagine-Paul Mitchell Partner School,North Little Rock,72117,34.789913,-92.222202
136,National Park College,Hot Springs,71913,34.512687,-93.119248
137,University of Arkansas Community College-Batesville,Batesville,72503-3350,35.792922999999995,-91.615852
138,Harding University,Searcy,72149-5615,35.247386,-91.72614300000001
139,Henderson State University,Arkadelphia,71999-0001,34.128155,-93.059703
140,Hendrix College,Conway,72032-3080,35.101565,-92.443256
141,Hot Springs Beauty College,Hot Springs,71901,34.496057,-93.037277
142,Jefferson Regional Medical Center School of Nursing,Pine Bluff,71603,34.187831,-92.018045
143,John Brown University,Siloam Springs,72761,36.189811999999996,-94.560283
144,Career Academy of Hair Design,Springdale,72764-7128,36.167605,-94.12947
145,Academy of Salon and Spa,Fort Smith,72901,35.38097,-94.41615999999999
146,Arkansas State University Mid-South,West Memphis,72301-3829,35.145736,-90.22285
147,Arkansas Northeastern College,Blytheville,72316-1109,35.898596999999995,-89.92100500000001
148,New Tyler Barber College Inc,North Little Rock,72114-4973,34.760085,-92.254171
149,North Arkansas College,Harrison,72601-5508,36.219909,-93.08844
150,Northwest Technical Institute,Springdale,72764,36.178032,-94.115346
151,Ouachita Baptist University,Arkadelphia,71998-0001,34.126093,-93.052471
152,Arkansas State University Three Rivers,Malvern,72104-0816,34.378745,-92.821416
153,Ozarka College,Melbourne,72556-0010,36.053031,-91.896355
154,University of the Ozarks,Clarksville,72830,35.476278,-93.467221
155,University of Arkansas Community College-Morrilton,Morrilton,72110,35.172136,-92.728507
156,Philander Smith College,Little Rock,72202-3799,34.737131,-92.283015
157,Phillips Community College of the University of Arkansas,Helena,72342-0785,34.546155,-90.616884
158,Southeast Arkansas College,Pine Bluff,71603,34.210309,-92.025936
159,Professional Cosmetology Education Center,El Dorado,71730-4009,33.216032,-92.664101
160,University of Arkansas-Pulaski Technical College,North Little Rock,72118-3347,34.782783,-92.299184
161,University of Arkansas Hope-Texarkana,Hope,71801,33.641665,-93.596762
162,University of Arkansas Community College Rich Mountain,Mena,71953,34.591449,-94.219799
163,Paul Mitchell the School-Arkansas,Fayetteville,72703,36.126373,-94.153892
164,Searcy Beauty College,Searcy,72143,35.239148,-91.735135
165,Shorter College,N Little Rock,72114,34.75933,-92.26133100000001
166,Williams Baptist University,Walnut Ridge,72476,36.125676,-90.94027700000001
167,South Arkansas Community College,El Dorado,71731-7010,33.209446,-92.666087
168,Southern Arkansas University Main Campus,Magnolia,71753,33.291618,-93.235922
169,Southern Arkansas University Tech,Camden,71701-1906,33.628367,-92.72162900000001
170,Velvatex College of Beauty Culture,Little Rock,72202-5452,34.735685,-92.289597
171,University of Arkansas-Fort Smith,Fort Smith,72913-3649,35.384184000000005,-94.373729
172,Academy of Art University,San Francisco,94105,37.787943,-122.400578
173,Academy of Chinese Culture and Health Sciences,Oakland,94612,37.805972,-122.26983899999999
174,The Academy of Radio and TV Broadcasting,Huntington Beach,92647,33.729535,-117.98776200000002
175,Avalon School of Cosmetology-Alameda,Alameda,94501,37.764203,-122.24356599999999
176,College of Alameda,Alameda,94501,37.781017,-122.279303
177,Allan Hancock College,Santa Maria,93454-6399,34.943715999999995,-120.421144
178,American Academy of Dramatic Arts-Los Angeles,Los Angeles,90028,34.095378000000004,-118.343701
179,American Baptist Seminary of the West,Berkeley,94704-3029,37.865252000000005,-122.256149
180,American Film Institute Conservatory,Los Angeles,90027-1625,34.10767,-118.310018
181,American Beauty College,West Covina,91790,34.069367,-117.936959
182,American Career College-Los Angeles,Los Angeles,90004,34.079322999999995,-118.29248100000001
183,American Conservatory Theater,San Francisco,94108-5834,37.787343,-122.40475
184,American River College,Sacramento,95841-4286,38.65085,-121.349672
185,Antelope Valley College,Lancaster,93536-5426,34.676207,-118.18616599999999
186,Art Center College of Design,Pasadena,91103,34.169031,-118.185102
187,Associated Technical College-Los Angeles,Los Angeles,90017-1604,34.056102,-118.272364
188,Associated Technical College-San Diego,San Diego,92101,32.715375,-117.15798799999999
189,Azusa Pacific University,Azusa,91702-7000,34.130047,-117.888375
190,Bakersfield College,Bakersfield,93305-1299,35.40911,-118.973753
191,Barstow Community College,Barstow,92311,34.870284999999996,-117.02341200000001
192,Bellus Academy-Chula Vista,Chula Vista,91911,32.614773,-117.08373799999998
193,Bethesda University,Anaheim,92801,33.842295,-117.941323
194,Biola University,La Mirada,90639-0001,33.906203000000005,-118.014374
195,Brownson Technical School,Anaheim,92805,33.819032,-117.905774
196,Bryan University,Tempe,85281,33.437779,-111.944197
197,Butte College,Oroville,95965-8399,39.649782,-121.64483100000001
198,California Institute of Integral Studies,San Francisco,94103,37.774924,-122.416102
199,Cabrillo College,Aptos,95003,36.989447999999996,-121.924797
200,California Baptist University,Riverside,92504-3297,33.929321,-117.425619
201,California College of the Arts,San Francisco,94107-2247,37.767485,-122.399451
202,University of California-Hastings College of Law,San Francisco,94102-4978,37.781137,-122.4157
203,California Institute of Technology,Pasadena,91125,34.137349,-118.125878
204,California Lutheran University,Thousand Oaks,91360-2787,34.224565999999996,-118.878924
205,California Polytechnic State University-San Luis Obispo,San Luis Obispo,93407,35.299513,-120.657311
206,Alliant International University-San Diego,San Diego,92131,32.897056,-117.094398
207,California State University-Bakersfield,Bakersfield,93311-1099,35.350004999999996,-119.10471100000001
208,California State University-Stanislaus,Turlock,95382-0299,37.52577,-120.852511
209,California State University-San Bernardino,San Bernardino,92407-2393,34.182621999999995,-117.323801
210,California State Polytechnic University-Pomona,Pomona,91768,34.057912,-117.821476
211,California State University-Chico,Chico,95929-0150,39.729712,-121.84485900000001
212,California State University-Dominguez Hills,Carson,90747-0005,33.864765999999996,-118.255917
213,California State University-Fresno,Fresno,93740,36.811153999999995,-119.744569
214,California State University-Fullerton,Fullerton,92831-3599,33.881506,-117.885446
215,California State University-East Bay,Hayward,94542,37.657694,-122.054135
216,California State University-Long Beach,Long Beach,90840-0115,33.782818,-118.11204
217,California State University-Los Angeles,Los Angeles,90032-8506,34.066927,-118.16896499999999
218,California State University-Northridge,Northridge,91330,34.240126000000004,-118.529319
219,California State University-Sacramento,Sacramento,95819-2694,38.559415,-121.423549
220,University of California-Berkeley,Berkeley,94720,37.871918,-122.26046299999999
221,University of California-Davis,Davis,95616-8678,38.539667,-121.749567
222,University of California-Irvine,Irvine,92697,33.648434,-117.841248
223,University of California-Los Angeles,Los Angeles,90095-1405,34.068892,-118.443901
224,University of California-Riverside,Riverside,92521,33.97246,-117.32741000000001
225,University of California-San Diego,La Jolla,92093,32.877749,-117.23586599999999
226,University of California-San Francisco,San Francisco,94143-0244,37.763737,-122.45848899999999
227,University of California-Santa Barbara,Santa Barbara,93106,34.416297,-119.846426
228,University of California-Santa Cruz,Santa Cruz,95064-1011,36.995584,-122.058801
229,Sofia University,Palo Alto,94303,37.430325,-122.10866000000001
230,California Beauty School,Modesto,95354,37.645216999999995,-120.99689
231,California Christian College,Fresno,93727,36.749365999999995,-119.711123
232,California Coast University,Santa Ana,92701,33.753135,-117.86523999999999
233,California Hair Design Academy,La Mesa,91942-5055,32.765221000000004,-117.02426100000001
234,California Institute of the Arts,Valencia,91355-2397,34.39327,-118.566837
235,California State University Maritime Academy,Vallejo,94590-8181,38.069061,-122.231551
236,California Western School of Law,San Diego,92101-3046,32.722192,-117.162416
237,Canada College,Redwood City,94061-1099,37.44877,-122.265398
238,College of the Canyons,Santa Clarita,91355-1899,34.403993,-118.568698
239,Career Academy of Beauty,Garden Grove,92845,33.781017999999996,-118.031697
240,Casa Loma College-Van Nuys,Van Nuys,91405,34.192828999999996,-118.45778100000001
241,CET-San Diego,San Diego,92102,32.711302,-117.105328
242,CET-San Jose,San Jose,95110,37.322722999999996,-121.88698000000001
243,CET-El Centro,El Centro,92243,32.790908,-115.549079
244,CET-Colton,Colton,92324,34.077381,-117.35348799999998
245,CET-Watsonville,Watsonville,95076,36.931833000000005,-121.767991
246,CET-Salinas,Salinas,93906,36.707333,-121.65236000000002
247,Cerritos College,Norwalk,90650-6298,33.886874,-118.09733700000001
248,Cerro Coso Community College,Ridgecrest,93555-9571,35.567525,-117.66767
249,Chabot College,Hayward,94545,37.642458000000005,-122.105636
250,Chaffey College,Rancho Cucamonga,91737-3002,34.147663,-117.57393200000001
251,Chapman University,Orange,92866,33.79302,-117.85251799999999
252,Charles R Drew University of Medicine and Science,Los Angeles,90059,33.925658,-118.242791
253,Concordia University-Irvine,Irvine,92612-3203,33.653665000000004,-117.81230500000001
254,San Diego Christian College,Santee,92071,32.842403999999995,-116.97811200000001
255,Church Divinity School of the Pacific,Berkeley,94709-1211,37.876184,-122.261122
256,Citrus College,Glendora,91741-1899,34.135487,-117.88526599999999
257,Citrus Heights Beauty College,Citrus Heights,95610-1410,38.712951000000004,-121.289529
258,City College of San Francisco,San Francisco,94112-1898,37.725953000000004,-122.451155
259,Claremont Graduate University,Claremont,91711-6160,34.103584999999995,-117.71370300000001
260,Claremont McKenna College,Claremont,91711-6400,34.102154,-117.71118799999999
261,Milan Institute-Visalia,Visalia,93277,36.271640000000005,-119.312151
262,Clovis Adult Education,Clovis,93611,36.834459,-119.69036899999999
263,Coastline Community College,Fountain Valley,92708-2597,33.715634,-117.929143
264,Cogswell College,San Jose,95134,37.414049,-121.94086999999999
265,Coba Academy,Anaheim,92801,33.841141,-117.94310800000001
266,Western University of Health Sciences,Pomona,91766-1854,34.058091999999995,-117.74773200000001
267,Columbia College,Sonora,95370,38.030367,-120.38838500000001
268,Columbia College Hollywood,Tarzana,91356-1411,34.17972,-118.538793
269,Compton College,Compton,90221-5393,33.878226,-118.20946299999999
270,Contra Costa College,San Pablo,94806-3195,37.969381,-122.337377
271,Cosumnes River College,Sacramento,95823-5799,38.45295,-121.42310800000001
272,Crafton Hills College,Yucaipa,92339-1799,34.039178,-117.101173
273,Cuesta College,San Luis Obispo,93403-8106,35.331276,-120.74223500000001
274,Cuyamaca College,El Cajon,92019,32.744954,-116.94350700000001
275,Cypress College,Cypress,90630-5897,33.82833,-118.025143
276,De Anza College,Cupertino,95014,37.320788,-122.04555800000001
277,International School of Beauty Inc,Palm Desert,92260-2740,33.729555,-116.40392800000001
278,Dell'Arte International School of Physical Theatre,Blue Lake,95525-0816,40.880924,-123.988808
279,College of the Desert,Palm Desert,92260,33.732108000000004,-116.388271
280,Design Institute of San Diego,San Diego,92121,32.880926,-117.167374
281,Diablo Valley College,Pleasant Hill,94523,37.968515999999994,-122.07314199999999
282,Dominican University of California,San Rafael,94901-2298,37.981279,-122.512051
283,Dominican School of Philosophy & Theology,Berkeley,94708-1816,37.881099,-122.26461200000001
284,East Los Angeles College,Monterey Park,91754-6099,34.040531,-118.148785
285,El Camino Community College District,Torrance,90506,33.885228999999995,-118.32991299999999
286,Elegance International,Hollywood,90028,34.098445,-118.33811100000001
287,Emperor's College of Traditional Oriental Medicine,Santa Monica,90403,34.030438000000004,-118.485119
288,Empire College,Santa Rosa,95403-2126,38.468052,-122.72933700000002
289,Evergreen Valley College,San Jose,95135-1598,37.30167,-121.76561000000001
290,FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,90015-1421,34.044209,-118.25993000000001
291,FIDM-Fashion Institute of Design & Merchandising-San Francisco,San Francisco,94108-5805,37.786353000000005,-122.406651
292,FIDM-Fashion Institute of Design & Merchandising-Orange County,Irvine,92614-5610,33.691963,-117.852254
293,Feather River Community College District,Quincy,95971-9124,39.953101000000004,-120.97306699999999
294,Federico Beauty Institute,Sacramento,95834,38.64883,-121.49776100000001
